,nodes,degree,betweenness,eigenvector
5,Clinton,0.7920792079207921,0.6941164545025932,0.51652530621341
2,Trump,0.24752475247524752,0.035445230237309375,0.31976105512167513
11,Bush,0.2079207920792079,0.056169888417413126,0.2704538603273386
6,Cruz,0.1782178217821782,0.01796636806537793,0.2614728088283421
0,Donald Trump,0.15841584158415842,0.008717114568599702,0.25266814452254605
1,Hillary Clinton,0.13861386138613863,0.004195348106239194,0.2225893293074495
10,Obama,0.0891089108910891,0.03705704856199905,0.16803544106446788
8,Kasich,0.0891089108910891,0.00024752475247524753,0.17122386755008095
7,Hillary,0.07920792079207921,0.0013762376237623762,0.13101863034579775
3,Ted Cruz,0.07920792079207921,9.900990099009902e-05,0.1784740638210946
31,Boehner,0.06930693069306931,0.05173267326732672,0.025127221275220473
21,Ryan,0.06930693069306931,0.029860443187175855,0.10479508616234469
48,Clintons,0.0594059405940594,4.950495049504951e-05,0.08674788672370755
25,Marco Rubio,0.0594059405940594,0.0,0.14845853327075748
40,Carson,0.0594059405940594,0.0,0.08738823193630632
81,Abedin,0.04950495049504951,0.017425742574257427,0.058666766850421735
39,Ben Carson,0.04950495049504951,0.002847084708470847,0.12009671936029671
37,Paul,0.04950495049504951,0.0005775577557755776,0.0520523350683257
18,Jeb Bush,0.04950495049504951,0.0,0.13373335360957023
26,Romney,0.04950495049504951,0.0,0.09952497688383274
46,Fiorina,0.04950495049504951,0.0,0.07498912426929567
15,Bill Clinton,0.039603960396039604,0.0001265126512651265,0.09452172462592638
4,Bernie Sanders,0.039603960396039604,0.0,0.10821115083461025
9,John Kasich,0.039603960396039604,0.0,0.10469957138803149
69,Putin,0.039603960396039604,0.0,0.0752042759259518
41,Jeb,0.039603960396039604,0.0,0.053075435314763525
12,George W. Bush,0.0297029702970297,0.0,0.09131357232428634
19,Barack Obama,0.0297029702970297,0.0,0.08736447274562426
42,Chris Christie,0.0297029702970297,0.0,0.08650437332382518
13,Reagan,0.0297029702970297,0.0,0.046449541569069226
44,Johnson,0.0297029702970297,0.0,0.046449541569069226
57,Kennedy,0.0297029702970297,0.0,0.046449541569069226
20,McConnell,0.0297029702970297,0.0,0.002259588343705193
72,McCarthy,0.0297029702970297,0.0,0.002259588343705193
28,Rand Paul,0.019801980198019802,0.003970454188275974,0.046911798440269645
24,Paul Ryan,0.019801980198019802,0.0,0.05126340116885444
36,Mateen,0.019801980198019802,0.0,6.943898705452673e-18
43,Brown,0.019801980198019802,0.0,6.943898705452673e-18
54,Scalia,0.019801980198019802,0.0,6.943898705452673e-18
60,Netanyahu,0.019801980198019802,0.0,6.943898705452673e-18
62,McCain,0.019801980198019802,0.0,6.943898705452673e-18
76,Francis,0.019801980198019802,0.0,6.943898705452673e-18
77,Davis,0.019801980198019802,0.0,6.943898705452673e-18
91,Roberts,0.019801980198019802,0.0,6.943898705452673e-18
94,Tai,0.019801980198019802,0.0,6.943898705452673e-18
98,Scott,0.019801980198019802,0.0,6.943898705452673e-18
100,Bergdahl,0.019801980198019802,0.0,6.943898705452673e-18
101,Buckley,0.019801980198019802,0.0,6.943898705452673e-18
14,Richard Nixon,0.009900990099009901,0.0,0.042617167734837584
16,Bill,0.009900990099009901,0.0,0.042617167734837584
17,John McCain,0.009900990099009901,0.0,0.042617167734837584
22,Joe Biden,0.009900990099009901,0.0,0.042617167734837584
23,Elizabeth Warren,0.009900990099009901,0.0,0.042617167734837584
27,Hillary Rodham Clinton,0.009900990099009901,0.0,0.042617167734837584
29,Biden,0.009900990099009901,0.0,0.042617167734837584
30,Warren,0.009900990099009901,0.0,0.042617167734837584
33,Sanders,0.009900990099009901,0.0,0.042617167734837584
34,Hillary Clinton's,0.009900990099009901,0.0,0.042617167734837584
35,Donald Trump's,0.009900990099009901,0.0,0.042617167734837584
38,Stevens,0.009900990099009901,0.0,0.042617167734837584
45,Wasserman Schultz,0.009900990099009901,0.0,0.042617167734837584
47,Bernie,0.009900990099009901,0.0,0.042617167734837584
49,Whitewater,0.009900990099009901,0.0,0.042617167734837584
50,Monica Lewinsky,0.009900990099009901,0.0,0.042617167734837584
51,Lewinsky,0.009900990099009901,0.0,0.042617167734837584
52,Osama bin Laden,0.009900990099009901,0.0,0.042617167734837584
53,Blackberry,0.009900990099009901,0.0,0.042617167734837584
55,Robby Mook,0.009900990099009901,0.0,0.042617167734837584
56,Politico,0.009900990099009901,0.0,0.042617167734837584
58,Tim Kaine,0.009900990099009901,0.0,0.042617167734837584
59,Kaine,0.009900990099009901,0.0,0.042617167734837584
61,Chelsea,0.009900990099009901,0.0,0.042617167734837584
63,John Podesta,0.009900990099009901,0.0,0.042617167734837584
64,Comey,0.009900990099009901,0.0,0.042617167734837584
65,Michelle Obama,0.009900990099009901,0.0,0.042617167734837584
66,Mike Pence,0.009900990099009901,0.0,0.042617167734837584
67,Al Gore,0.009900990099009901,0.0,0.042617167734837584
68,Vladimir Putin,0.009900990099009901,0.0,0.042617167734837584
70,Christopher Stevens,0.009900990099009901,0.0,0.042617167734837584
71,Sidney Blumenthal,0.009900990099009901,0.0,0.042617167734837584
73,Martin O'Malley,0.009900990099009901,0.0,0.042617167734837584
74,Jim Webb,0.009900990099009901,0.0,0.042617167734837584
75,O'Malley,0.009900990099009901,0.0,0.042617167734837584
78,Rodham,0.009900990099009901,0.0,0.042617167734837584
79,BlackBerry,0.009900990099009901,0.0,0.042617167734837584
80,Sullivan,0.009900990099009901,0.0,0.042617167734837584
82,Reid,0.009900990099009901,0.0,0.042617167734837584
83,Pagliano,0.009900990099009901,0.0,0.042617167734837584
84,Powell,0.009900990099009901,0.0,0.042617167734837584
86,Latino,0.009900990099009901,0.0,0.042617167734837584
87,Gowdy,0.009900990099009901,0.0,0.042617167734837584
88,Blumenthal,0.009900990099009901,0.0,0.042617167734837584
89,Bannon,0.009900990099009901,0.0,0.042617167734837584
90,Williams,0.009900990099009901,0.0,0.042617167734837584
92,Gore,0.009900990099009901,0.0,0.042617167734837584
95,Jordan,0.009900990099009901,0.0,0.042617167734837584
96,Tipper,0.009900990099009901,0.0,0.042617167734837584
97,Hillary Rodham,0.009900990099009901,0.0,0.042617167734837584
85,Marco,0.009900990099009901,0.0,0.02231410239268971
93,Murphy,0.009900990099009901,0.0,0.02231410239268971
99,Huma,0.009900990099009901,0.0,0.004840378379125813
32,John Boehner,0.009900990099009901,0.0,0.0020731601228896022
